"Company","Country","State","Industry","Rank","Year","Sales, mln.US$","Profits, mln.US$","Assets, mln.US$","Market Value, mln.US$"
3i Group,United Kingdom,Total,Investment Services,1573,2015,1200,1000,7300,7000
3M,United States,Minnesota,Conglomerates,205,2015,31800,5000,31300,105100
77 Bank,Japan,Total,Regional Banks,1616,2015,982,178,69200,2100
A2A,Italy,Total,Electric Utilities,1895,2015,6700,84,14600,3400
Aareal Bank,Germany,Total,Thrifts & Mortgage Finance,1360,2015,1700,420,60000,2600
ABB,Switzerland,Total,Conglomerates,201,2015,40100,2600,45200,50300
Abbott Laboratories,United States,Illinois,Pharmaceuticals,248,2015,21300,2300,41300,69900
AbbVie,United States,Illinois,Pharmaceuticals,303,2015,20000,1800,27500,91700
Abengoa,Spain,Total,Construction Services,1349,2015,9500,166,30600,3200
Aberdeen Asset Management,United Kingdom,Total,Investment Services,1755,2015,1900,473,8700,9300
Abertis,Spain,Total,Other Transportation,696,2015,6400,870,33600,16800
Abu Dhabi Commercial Bank,United Arab Emirates,Total,Regional Banks,841,2015,2500,1100,55500,10300
Abu Dhabi Islamic Bank,United Arab Emirates,Total,Regional Banks,1464,2015,1500,476,30500,5500
Acciona,Spain,Total,Construction Services,1538,2015,8600,245,19500,4500
Accor,France,Total,Hotels & Motels,1382,2015,7200,296,10600,12500
ACE,Switzerland,Total,Diversified Insurance,216,2015,19400,2900,98200,36400
Actavis,Ireland,Total,Pharmaceuticals,613,2015,13100,-1600,52500,116700
Actelion,Switzerland,Total,Pharmaceuticals,1400,2015,2100,649,2800,13400
Activision Blizzard,United States,California,Recreational Products,1006,2015,4400,823,14700,16400
Adani Enterprises,India,Total,Trading Companies,944,2015,10600,368,20900,11100
Adecco,Switzerland,Total,Business & Personal Services,675,2015,26900,850,12000,15100
Adidas,Germany,Total,Apparel/Accessories,684,2015,19500,650,15000,17100
Adobe Systems,United States,California,Software & Programming,1372,2015,4200,291,11000,38100
Advance Auto Parts,United States,Virginia,Specialty Stores,1181,2015,9800,493,8000,10700
Advanced Info Service,Thailand,Total,Telecommunications services,1044,2015,4600,1100,3800,22500
Advanced Semiconductor,Taiwan,Total,Semiconductors,1000,2015,8500,779,10600,10900
AECOM Technology,United States,California,Construction Services,1611,2015,10600,70,14300,4900
Aegon,Netherlands,Total,Diversified Insurance,230,2015,54300,1600,502500,17500
Aena,Spain,Total,Other Transportation,983,2015,4100,631,21100,16400
Aeon,Japan,Total,Food Retail,541,2015,57600,527,65200,10000
AerCap Holdings,Netherlands,Total,Other Transportation,928,2015,3600,832,43900,9500
Aeroports de Paris,France,Total,Other Transportation,1356,2015,3700,533,11800,12200
AES,United States,Virginia,Electric Utilities,608,2015,17100,825,39000,9400
Aetna,United States,Connecticut,Managed Health Care,203,2015,58000,2000,53400,37600
Affiliated Managers Group,United States,Massachusetts,Investment Services,1603,2015,2500,458,7700,11800
Aflac,United States,Georgia,Life & Health Insurance,212,2015,22700,3000,119800,28000
AGCO,United States,Georgia,Heavy Equipment,1669,2015,9700,410,7400,4200
Ageas,Netherlands,Total,Diversified Insurance,592,2015,16800,631,124600,8700
Agile Property Holdings,Hong Kong,Total,Real Estate,1204,2015,6200,753,19900,2500
Agilent Technologies,United States,California,Electronics,1376,2015,6300,374,7500,14100
AGL Energy,Australia,Total,Electric Utilities,1124,2015,8900,556,13000,7800
AGL Resources,United States,Georgia,Natural Gas Utilities,1468,2015,5500,494,15100,6000
Agricultural Bank of China,China,Total,Regional Banks,3,2015,129200,29100,2574800,189900
Agrium,Canada,Total,Specialized Chemicals,685,2015,16000,707,17100,15100
Ahli United Bank,Bahrain,Total,Regional Banks,1431,2015,1400,483,33400,4800
AIA Group,Hong Kong,Total,Life & Health Insurance,136,2015,25400,3400,165300,76700
Air Canada,Canada,Total,Airline,1887,2015,12000,91,9200,2700
Air France-KLM,France,Total,Airline,1072,2015,33100,-263,28100,2700
Air Liquide,France,Total,Specialized Chemicals,297,2015,20400,2200,32300,45400
Air Products & Chemicals,United States,Pennsylvania,Specialized Chemicals,587,2015,10500,1000,17600,32600
Airgas,United States,Pennsylvania,Specialized Chemicals,1877,2015,5300,369,6000,8000
Airports of Thailand,Thailand,Total,Other Transportation,1706,2015,1200,381,4700,12900
Aisin Seiki,Japan,Total,Auto & Truck Parts,628,2015,27500,708,23300,11000
Ajinomoto,Japan,Total,Food Processing,1063,2015,9300,431,10600,13700
Akamai Technologies,United States,Massachusetts,Computer Services,1833,2015,2000,334,4000,12700
Akamai Technologies,United States,Massachusetts,Computer Services,1833,2015,2000,334,4000,12700
Akbank,Turkey,Total,Regional Banks,522,2015,8100,1600,93200,12700
Akzo Nobel,Netherlands,Total,Diversified Chemicals,585,2015,19000,724,19700,19300
Al Rajhi Bank,Saudi Arabia,Total,Regional Banks,597,2015,3700,1800,82000,24500
Alaska Air Group,United States,Washington,Airline,1506,2015,5400,605,6200,8200
Alcatel-Lucent,France,Total,Communications Equipment,904,2015,17500,-81,26000,11100
Alcoa,United States,New York,Aluminum,735,2015,23900,268,37400,16300
Aldar Properties,United Arab Emirates,Total,Real Estate,1965,2015,1800,609,10500,5400
Alexion Pharmaceuticals,United States,Connecticut,Biotechs,1158,2015,2200,657,4200,34500
ALFA,Mexico,Total,Conglomerates,1036,2015,17200,-170,15800,11000
Alfa Laval,Sweden,Total,Other Industrial Equipment,1707,2015,5100,429,7100,8300
Alfresa Holdings,Japan,Total,Pharmaceuticals,1516,2015,23100,238,10600,3100
Alibaba,China,Total,Business & Personal Services,269,2015,11500,4400,43600,201700
Alinma Bank,Saudi Arabia,Total,Regional Banks,1495,2015,755,337,21500,8600
All Nippon Airways,Japan,Total,Airline,916,2015,15900,358,19300,9700
Allahabad Bank,India,Total,Regional Banks,1818,2015,3500,197,37000,880
Alleghany,United States,New York,Property & Casualty Insurance,1064,2015,5200,679,24000,7800
Alliance Data Systems,United States,Texas,Business & Personal Services,929,2015,5300,506,20300,18600
Alliant Energy,United States,Wisconsin,Electric Utilities,1871,2015,3400,393,12100,7200
Allianz,Germany,Total,Diversified Insurance,21,2015,128400,8300,979000,82000
Allied Irish Banks,Ireland,Total,Regional Banks,427,2015,6100,1200,130400,56700
Allied World Assurance,Switzerland,Total,Diversified Insurance,1961,2015,2500,490,12400,3900
Allstate,United States,Illinois,Diversified Insurance,194,2015,34900,2900,110300,29500
Ally Financial,United States,Michigan,Investment Services,540,2015,10300,1200,153600,9900
Almarai,Saudi Arabia,Total,Food Processing,1554,2015,3400,446,6400,13600
Alpha Bank,Greece,Total,Regional Banks,1437,2015,5100,-437,88300,3700
Alpiq Holding,Switzerland,Total,Electric Utilities,1858,2015,8800,-961,11900,2200
Alrosa,Russia,Total,Diversified Metals & Mining,1995,2015,5400,-463,6500,9700
Alstom,France,Total,Conglomerates,644,2015,18400,594,42000,9800
Altera,United States,California,Semiconductors,1566,2015,1900,473,5700,12400
Altice,Luxembourg,Total,Telecommunications services,940,2015,5200,-538,43700,28100
Altria Group,United States,Virginia,Tobacco,237,2015,17900,5100,34500,101400
